Id,Name,FullName
1182,BTC,Bitcoin
7605,ETH,Ethereum
5031,XRP,XRP
929418,CRO,Crypto.com Chain Token
309621,LINK,Chainlink
171986,USDT,Tether
934491,HMR,Homeros
321992,ADA,Cardano
204788,BNB,Binance Coin
202330,BCH,Bitcoin Cash
935731,DOT,Polkadot
931991,NYE,NewYork Exchange
3808,LTC,Litecoin
936630,UNI,Uniswap Protocol Token
926591,BSV,Bitcoin SV
925809,USDC,USD Coin
166503,EOS,EOS
431235,AION,Aion
5038,XMR,Monero
771595,HT,Huobi Token
4614,XLM,Stellar
166390,XTZ,Tezos
27368,NEO,NEO
310829,TRX,TRON
933526,HEX,HEX
930952,HYN,Hyperion
931926,THX,Thorenext
934650,SENSO,SENSO
937121,PLTC,PlatonCoin
933127,PLF,PlayFuel
925144,OKB,Okex
931676,FTT,FTX Token
928761,WBTC,Wrapped Bitcoin
930621,RSR,Reserve Rights
199107,ATOM,Cosmos
935546,COMP,Compound
5285,XEM,NEM
935562,UMA,UMA
799472,CEL,Celsius Network
930571,LEO,LEO Token
127356,MIOTA,IOTA
3807,DASH,Dash
24854,ZEC,ZCash
714811,THETA,Theta
5324,ETC,Ethereum Classic
236131,VET,VeChain
926388,ABBC,ABBC Coin
932096,BAND,Band Protocol
932637,DAI,Multi Collateral Dai
936952,AAVE,Aave
41192,MKR,Maker
936137,CRV,Curve DAO Token
935984,NEST,Nest Protocol
925204,ZB,ZB
928790,QNT,Quant
935695,BAL,Balancer
931790,BOTX,BOTXCOIN
187440,OMG,OMG Network
935926,YFI,yearn.finance
928919,BTMX,BitMax Token
66193,GNO,Gnosis
186277,ZRX,0x
808414,ONT,Ontology
931777,SXP,Swipe
928723,BTT,BitTorrent
844139,TUSD,True USD
4432,DOGE,Dogecoin
788239,REN,REN
934099,SOLO,Sologenic
107672,BAT,Basic Attention Token
930244,THR,Thorecoin
166594,NMR,Numeraire
4430,DGB,DigiByte
20131,WAVES,Waves
933582,APM,apM Coin
932932,KSM,Kusama
936047,DIA,DIA
879044,CVT,CyberVein
925939,PAX,Paxos Standard
933032,OXT,Orchid Protocol
318169,LRC,Loopring
930413,OCEAN,Ocean Protocol
418694,UQC,Uquid Coin
112392,QTUM,QTUM
930992,ALGO,Algorand
936118,SRM,Serum
925371,TMTG,The Midas Touch Gold
716725,ZIL,Zilliqa
310497,KNC,Kyber Network
19745,LSK,Lisk
931807,BHT,HBTC Captain Token
187347,STORJ,Storj
933180,OGN,Origin Protocol
937023,CVP,PowerPool Concentrated Voting Power
199148,MANA,Decentraland
930246,MATIC,Matic Network
137013,SNT,Status Network Token
935922,ORN,Orion Protocol
936555,PHA,Phala Network
348628,KCS,KuCoin Shares
934479,DEP,DEAPCOIN
324068,ICX,ICON Project
931795,GT,Gatechain Token
17778,REP,Augur
877073,NEXO,NEXO
16713,DCR,Decred
933144,CETH,Compound Ethereum
283116,ENJ,Enjin Coin
935346,DKA,dKargo
934361,HIVE,Hive
18907,DGD,Digix DAO
934495,LMCH,Latamcash
918566,MIXI,Mixin
929872,ORBS,Orbs
347235,BTG,Bitcoin Gold
931871,DVP,Decentralized Vulnerability Platform
78152,ANT,Aragon
936179,SAND,The Sandbox
936051,DF,dForce
929828,BZRX,bZx
716522,IOST,IOS token
932552,ME,All.me
930126,SOLVE,SOLVE
172091,NANO,Nano
936576,ACH,Alchemy Pay
930306,LAMB,Lambda
932263,MX,MX Token
166548,MCO,Crypto.com
932121,HBAR,Hedera Hashgraph
935149,XPR,Proton
931955,ULTRA,Ultra
409492,BCD,Bitcoin Diamond
931799,CHZ,Chiliz
13072,SC,Siacoin
33022,GNT,Golem Network Token
931668,LUNA,Terra
936306,SUSHI,Sushi
218008,BTM,Bytom
5296,MONA,MonaCoin
868276,HOLO,Holo
929313,ANKR,Ankr Network
571314,ELF,aelf
339617,POWR,Power Ledger
934857,ICH,IdeaChain
931810,BDX,Beldex
935377,RAD.CUR,Rite Aid
936218,YFII,DFI.money
931927,THEX,Thore Exchange
61877,RLC,iEx.ec
22327,BNT,Bancor Network Token
752993,CHSB,SwissBorg
4433,XVG,Verge
934340,HDAO,HyperDAO
930679,YCC,Yuan Chain Coin
816702,TOMO,TomoChain
5039,BTS,Bitshares
337162,AST,AirSwap
935740,DMG,DMM: Governance
708404,IDEX,IDEX
893122,IOTX,IoTeX Network
236358,UTK,Utrust
934997,LYXE,LUKSO
26132,KMD,Komodo
116180,ZEN,Horizen
936009,WNXM,Wrapped NXM
932619,CKB,Nervos Network
925893,VEST,VestChain
931916,PROM,Prometeus
928158,FTM,Fantom
931849,AKRO,Akropolis
934663,OBSR,OBSERVER Coin
933125,BOA,BOSAGORA
369151,DATA,Streamr DATAcoin
899553,QKC,QuarkChain
177918,KIN,Kin
30173,ARDR,Ardor
933177,ZYN,Zynecoin
926044,HC,HyperCash
934590,MWC,MimbleWimbleCoin
931752,FOIN,Foin
5293,MAID,MaidSafe Coin
916813,CET,CoinEx Token
931100,MXC,Machine Xchange Coin
744820,POLY,Polymath Network
931013,MBL,MovieBloc
929546,CELR,Celer Network
307219,RCN,Ripio
925129,DAG,Constellation 
932706,SUTER,Suterusu
752710,BLZ,Bluzelle
731516,NPXS,Pundi X
930835,WICC,WaykiChain
936585,FRONT,Frontier
24294,STRAT,Stratis
930104,HPT,Huobi Pool Token
338541,WAXP,Worldwide Asset eXchange
925195,KCASH,Kcash
710156,AGI,SingularityNET
935990,RING,Darwinia Network
402714,QASH,Quoine Liquid
930345,DREP,DREP
927360,NRG,Energi
934837,JST,JUST
178978,FUN,FunFair
929452,VSYS,V Systems
931472,DAC,Davinci Coin
930849,STPT,STP Network
930697,BORA,BORA
619555,NAS,Nebulas
32699,ARK,ARK
936217,YAMV2,YAM v2 
931881,FOR,Force Protocol
931123,CNNS,CNNS
45253,MLN,Melon
931969,XSR,Xensor
30022,XZC,Zcoin
659770,GXS,GXChain
927166,CONT,Contentos
310297,PNT,pNetwork Token
240142,WAN,Wanchain
931523,ARPA,ARPA Chain
361881,ETN,Electroneum
141464,VGX,Voyager Token
930843,TOPN,TOP Network
139467,CVC,Civic
935699,RINGX,RING X PLATFORM
856139,CTXC,Cortex
932730,YO,Yobit Token
4618,SYS,SysCoin
397757,QSP,Quantstamp
914830,VIDT,V-ID
933586,APIX,APIX
710597,CRPT,Crypterium
299397,WTC,Waltonchain
925339,KAN,Bitkan
931693,PERL,Perlin
141331,DENT,Dent
335059,REQ,Request Network
928382,AERGO,AERGO 
887527,TRUE,True Chain
179164,MTL,Metal
933535,RKN,RAKON
836492,LOOM,Loom Network
925268,MOF,Molecular Future
928535,DUSK,Dusk Network
935333,JKS.CUR,"JinkoSolar Holding Co., Ltd."
935195,STMX,StormX
918549,PPAI,Project Pai
901906,BMX,BitMart Coin
936181,OM,MANTRA DAO
917211,MFT,Mainframe
372369,RDNN,Raiden Network
931134,ROOBEE,ROOBEE
768219,FSN,Fusion
935203,NVDA.CUR,NVIDIA
928497,BEAM,Beam
930591,AYA,Aryacoin
889997,LBA,Cred
921524,VITE,VITE
905749,SEELE,Seele
176669,NIM,Nimiq
932666,XDGB,DigitalBits
927515,META,Metadium
936040,TRADE,UniTrade
20333,STEEM,Steem
231674,IGNIS,Ignis
370973,XNS,Insolar
930897,YOU,YOU Chain
935397,VNET.CUR,"21Vianet Group, Inc."
930686,CHR,Chromia
213532,GAS,Gas
360299,KEY,SelfKey
186331,PRE,Presearch
328639,ETP,Metaverse
757969,BIX,BiboxCoin
758055,ABT,ArcBlock
925563,GUSD,Gemini Dollar
5018,VTC,Vertcoin
925291,AAC,Acute Angle Cloud
13070,GRS,Groestlcoin
933616,BKK,BKEX Token
619375,GNX,Genaro Network
35030,XSN,Stakenet
841767,ADK,Aidos Kuneen
918514,LET,LinkEye
675053,HPB,High Performance Blockchain
719272,YEE,Yee
179896,PPT,Populous
714866,MSDT,Measurable Data Token 
45260,PAY,TenX
718353,SWFTC,SwftCoin
935249,NOW.CUR,ServiceNow
517477,GTO,GIFTO
935089,EPAM.CUR,"EPAM Systems, Inc."
597629,ITC,IoT Chain
906271,UPP,Sentinel Protocol
935214,AMZN.CUR,Amazon.com Inc
377792,NULS,Nuls
637681,QLC,QLC Chain
190978,AE,Aeternity
866363,DOCK,Dock.io
936252,FYZ,Fyooz
524113,SMT,SmartMesh
1183,NXT,Nxt
794350,RVN,Ravencoin
935253,FB.CUR,Facebook
935520,EBAY.CUR,eBay
916769,MET,Metronome
185695,PRO,Propy
935213,TEAM.CUR,Atlassian Corporation Plc
744910,RUFF,Ruff
340940,WABI,WABI
177175,DNT,district0x
517483,TNB,Time New Bank
931788,FRM,Ferrum Network
780891,TEN,Tokenomy
439963,CMT,CyberMiles
935095,YNDX.CUR,Yandex N.V.
346812,APPC,AppCoins
710240,BFT,BF Token
5282,XDN,DigitalNote 
930859,CVNT,Content Value Network
369132,OST,Simple Token
186309,TNT,Tierion
192400,DMT,DMarket
930669,MOC,Mossland
932028,BKBT,BeeKan
916728,EGT,Egretia
199901,SMART,SmartCash
931750,EM,Eminer
716574,TCT,TokenClub 
180013,OAX,Oax
925271,BOX,ContentBox
222085,NEBL,Neblio
931718,PVT,Pivot Token
732098,FAIRG,FairGame
341279,MDA,Moeda
380641,SRN,SirinLabs
194883,EVX,Everex
935392,US500.CUR,S&P 500
930795,SPENDC,SpendCoin
935070,TSLA.CUR,Tesla
900419,EPT,Endor Protocol Token 
24926,SNGLS,SingularDTV
667050,MDS,MediShares
933184,BEPRO,BetProtocol
886955,VRA,Verasity
238733,AMB,Amber
936494,SWRV,Swerve
385952,GVT,Genesis Vision
935402,US30.CUR,Dow Jones 30
136269,SKY,Skycoin
795662,RFR,Refereum
930623,ONE,Harmony
932712,NODE,Whole Network
928921,LTO,LTO Network
847172,MITH,Mithril
129604,ZRC,ZrCoin
866334,UUU,U Network
935078,GME.CUR,Gamestop
925484,TOPC,Topchain
930946,ABL,Airbloc
925358,HIT,HitChain
927251,NEW,Newton
220204,DLT,Agrello Delta
788409,SOC,All Sports Coin
929891,FAT,Fatcoin
4339,BLK,BlackCoin
930837,EKT,EDUCare
716767,QUN,QunQun
890069,CNN,Content Neutrality Network
713186,DTA,Data
935969,PLT,Add.xyz
890130,SKM,Skrumble Network
925516,TRIO,Tripio
931770,LXT,LITEX
930820,ATP,Atlas Protocol
198710,VIB,Viberate
136190,MYST,Mysterium
730988,CPCH,CPChain
935092,BA.CUR,Boeing
714255,OCN,Odyssey
877236,CHX,Own
335505,DAT,Datum
930816,HYDRO,Hydro
814081,DATX,DATx
918953,MEET,CoinMeet
704135,EKO,EchoLink
878068,EDU,EduCoin
255777,PST,Primas
930942,SMARTS,Smartshare
684818,AIDOC,AI Doctor
586088,DBC,DeepBrain Chain
931826,BUT,BitUP Token
770254,MWAT,RED MegaWatt
890593,UBEX,Ubex
892524,OPEN,Open Platform
745017,TPAY,TokenPay
935423,ADABULL,3X Long Cardano Token
925214,OGSP,OriginSport
935426,ATOMBULL,3X Long Cosmos Token
933922,CNB,Coinsbit Token
692839,INT,Internet Node Token
932829,SNL,Sport and Leisure
897502,ELY,Elysian
925260,ECOM,Omnitude
930888,BTNT,BitNautic
796019,PROPS,Props
925686,MHC,MetaHash
179926,SNC,SunContract
933660,JOB,Jobchain
936633,ZYRO,Zyro
28216,ZYD,ZayedCoin
920958,ZXC,Oxcert
30391,ZUR,Zurcoin
929150,ZUC,Zeux
932086,ZT,ZBG Token
79875,ZSE,ZSEcoin
341328,ZSC,Zeusshield
731559,ZPT,Zeepin
925282,ZPR,ZPER
53178,ZOI,Zoin
933712,ZOC,01coin
934844,ZNZ,ZENZO
8762,ZNY,BitZeny
28227,ZNE,ZoneCoin
927991,ZND,Zenad
912878,ZMN,ZMINE
866472,ZLA,Zilla
899541,ZIPT,Zippie
925165,ZIP,Zipper
916851,ZINC,ZINC
4347,ZET,ZetaCoin
925787,ZEST,ZestCoin
51845,ZER,Zero
375396,ZEPH,Zeph
929494,ZEON,Zeon Network
859692,ZEL,Zelcash
20908,ZEIT,ZeitCoin
931630,ZDR,Zloadr
933821,ZCR,ZCore
876390,ZCO,Zebi Coin
917256,ZCN,0chain
32544,ZCL,ZClassic
431170,ZCG,ZCashGOLD
925113,ZCC1,ZeroCarbon
5035,ZCC,ZCC Coin
45250,ZBC,Zilbercoin
925664,ZAT,ZatGo
684747,ZAP,Zap
933521,ZANO,Zano
935322,YY.CUR,YY Inc.
921549,YUP,Crowdholding
933714,YTN,YENTEN
931768,YTA,YottaChain
322002,YOYOW,Yoyow
935330,YOLO.CUR,AdvisorShares Pure Cannabis ETF
20691,YOC,YoCoin
936205,YFV,YFValue 
936222,YFL,YF Link
935515,YELP.CUR,Yelp
931071,YEED,Yggdrash
932702,YAP,Yap Stone
936120,YAM,YAM
795305,XYO,XY Oracle
5033,XXX,XXXCoin
20338,XWC,WhiteCoin
57734,XVP,VirtacoinPlus
5303,XVC,Vcash
436007,XUN,UltraNote
184221,XUC,Exchange Union
934720,XTZBULL,3X Long TezosToken
934721,XTZBEAR,3X Short Tezos Token
933174,XTP,Tap
744880,XTO,Tao
906635,XT3,Xt3ch
917819,XSTC,Safe Trade Coin
5032,XST,StealthCoin
42598,XSPEC,Spectre
933029,XSPC,SpectreSecurityCoin
937029,XSP,XSwap
419814,XSH,SHIELD
847395,XSG,Snowgem
928091,XSC,Hyperspace
936102,XRT,Robonomics.network
934065,XRPBULL,3X Long XRP Token
934069,XRPBEAR,3X Short XRP Token
179990,XRL,Rialto.AI
20823,XRE,RevolverCoin
931097,XRC,Bitcoin Rhodium
21770,XRA,Ratecoin
928139,XQR,Qredit
5030,XPY,PayCoin
385933,XPTX,PlatinumBAR
919073,XPST,PokerSports
935115,XPO.CUR,XPO Logistics
29008,XPO,Opair
935352,XPN,PANTHEON X
5029,XPM,PrimeCoin
7590,XPH,PharmaCoin
3646,XPD,PetroDollar
931842,XPC,eXPerience Chain
920249,XPAT,Bitnation Pangea
318154,XP,Experience Points
929356,XOV,XOVBank
362769,XNN,Xenon
794362,XNK,Ink Protocol
35953,XNG,Enigma
934040,XNC,Xenios
4345,XMY,MyriadCoin
921375,XMX,XMax
463101,XMRG,Monero Gold
877397,XMO,Monero Original
5331,XMG,Coin Magi
222133,XMCC,Monoeci
868229,XMC,Monero Classic
935466,XLV.CUR,Health Care Select Sector SPDR Fund
61061,XLR,Solaris
935534,XLNX.CUR,"Xilinx, Inc."
198337,XLC,LeviarCoin
5027,XJO,JouleCoin
360740,XIOS,Xios
372654,XIN,Infinity Economics
199026,XID,Sphre AIR
20202,XHI,HiCoin
71862,XGR,GoldReserve
380754,xGOx,Go!
41989,XGB,GoldenBird
625458,XFT,Fantasy Cash
913066,XET,Eternal Token
887706,XES,Proxeus
931964,XENO,Xenoverse
34324,XEN,XenixCoin
178861,XEL,Elastic
935306,XEC.CUR,Cimarex Energy
921608,XDNA,XDNA
22430,XDE2,XDE II
933001,XDC,Xinfin Network
931701,XD,Data Transaction Token
253688,XCXT,CoinonatX
34604,XCRE,Creatio
5026,XCR,Crypti
597029,XCPO,Copico
5292,XCP,CounterParty
5408,XCO,XCoin
5386,XCN,Cryptonite
848134,XCLR,ClearCoin
35955,XCI,Cannabis Industry Coin
931859,XCHF,CryptoFranc
925251,XCG,Xchange
909375,XCEL,XcelTrip
925826,XCASH,X-CASH
5024,XC,X11 Coin
66694,XBY,XTRABYTES
928785,XBX,BiteX
5023,XBS,Bitstake
5022,XBOT,SocialXbotCoin
928459,XBOND,Bitacium
375352,XBL,Billionaire Token
886928,XBI,Bitcoin Incognito
5391,XBC,BitcoinPlus
898360,XBB,BrickBlock
927584,XBASE,ETERBASE
934021,XAUT,Tether Gold
25082,XAUR,Xaurum
218107,XAS,Asch
922654,XAP,Apollon
450337,X8X,X8Currency
933881,X42,X42 Protocol
935118,X.CUR,US Steel Corp
899504,WYS,Wysker
179109,WTT,Giga Watt
926317,WTL,Welltrado
746288,WT,WeToken
68084,WSX,WeAreSatoshi
296844,WRC,Worldcore
355242,WPR,WePower
924955,WPP,Green Energy Token
228162,WORM,HealthyWorm
935389,WORK.CUR,Slack Technologies Inc
934982,WOONK,Woonkly
348068,WOMEN,WomenCoin
206512,WNET,Wavesnode.net
935091,WMT.CUR,Wal-Mart Stores Inc
935073,WLL.CUR,Whiting Petroleum
933921,WLF,Wolfs Group
932728,WIX,Wixlar
925264,WIT,Witcoin
411620,WISH,MyWish
930720,WINT,WinToken
25946,WINGS,Wings DAO
931583,WIN,WINk
339533,WILD,Wild Crypto
933593,WIKI,Wiki Token
320551,WIC,Wi Coin
930700,WIB,Wibson
347067,WHL,WhaleCoin
924369,WHEN,WhenHub
178467,WGR,Wagerr
930890,WGP,W Green Pay
61667,WGO,WavesGO
930912,WGC,WeGen Platform
931840,WFX,WebFlix
935398,WFC.CUR,Wells Fargo & Co
28882,WEX,Wexcoin
928486,WETH,WETH
934870,WET,WeShow Token
653806,WELL,Well
914812,WEBC,Webchain
320596,WEB,Webcoin
5020,WDC,WorldCoin
935460,WDAY.CUR,Workday Inc
43042,WCT,Waves Community Token
876102,WCOIN,WCoin
933915,WCC,Wincash Coin
5319,WBB,Wild Beast Coin
935267,WBA.CUR,Walgreen Boots Alliance
27681,WAY,WayCoin
935276,WATT.CUR,Energous Corporation
25822,WARP,WarpCoin
645913,WAGE,Digiwage
915420,WAB,WABnetwork
819663,W3C,W3Coin
926038,W12,W12 Protocol
935117,W.CUR,Wayfair Cl A
781079,VVI,VV Coin
182340,VUC,Virta Unique Coin
5372,VTR,Vtorrent
20680,VTA,VirtaCoin
325279,VSX,Vsync
32880,VSL,vSlice
931666,VRSC,Verus Coin
33399,VRS,Veros
28323,VRM,Verium
5017,VRC,VeriCoin
935321,VOW3.CUR,Volkswagen AG
5016,VOOT,VootCoin
935250,VOO.CUR,Vanguard S&P 500 ETF
55553,VOLT,BitVolt
929661,VOLLAR,Vollar
931670,VOL,Volume Network
188352,VOISE,Voise
931104,VOCO,Provoco
934383,VNXLU,VNX Exchange
926362,VNX,VisionX
930722,VNT,VNT Chain
921401,VME,TrueVett
804376,VLX,Velox
50730,VLTC,VaultCoin
28225,VLT,Veltor
930506,VLS,Veles
856890,VLD,Valid
341205,VIVO,VIVO Coin
933864,VIVID,Vivid Coin
393656,VIU,Viuly
913061,VITAE,Vitae
842430,VIT,Vision Industry Token
62648,VISIO,Visio
6088,VIRAL,Viral Coin
22212,VIP,VIP Tokens
5407,VIOR,ViorCoin
782929,VIN,VinChain
907161,VIG,TheVig
336538,VIBE,VIBEHub
5015,VIA,ViaCoin
935136,VI,Vid
935509,VGT.CUR,Vanguard Information Technology ETF
136211,VERI,Veritaseum
933298,VEN,VeChain Old
933948,VEGA,Vega Protocol
925595,VEEN,LIVEEN
306482,VEE,BLOCKv
930615,VDX,Vodi X
930350,VDL,Vidulum
930677,VBK,VeriBlock
930931,VANT,Vanta Network
929236,VALOR,Smart Valor
929202,VALID,Validator Token
732147,VAL,Valorbit
935116,V.CUR,Visa Inc
587261,UTT,United Traders Token
466492,UTNP,Universa
5013,UTIL,Utility Coin
5012,UTC,UltraCoin
767334,USX,Unified Society USDEX
928014,USE,Usechain Token
935456,USDTBULL,3X Long Tether Token
929229,USDS,StableUSD
930925,USDQ,USDQ
934425,USDEX,eToro US Dollar
5011,USDE,UnitaryStatus Dollar
933990,USDA,USDA
810258,USCOIN,USCoin
930908,USCC,USC
100954,USC,Ultimate Secure Cash
4631,URO,UroCoin
931957,URAC,Uranus
934329,UPUSD,Universal US Dollar
934330,UPT,Universal Protocol Token
934328,UPEUR,Universal Euro
347247,UP,UpToken
779032,UNRC,UniversalRoyalCoin
4630,UNO,Unobtanium
20635,UNITY,SuperNET
38032,UNITS,GameUnits
20728,UNIT,Universal Currency
182364,UNIFY,Unify
932670,UNICORN,UNICORN Token
930869,UND,United Network Distribution
8760,UNC,UnCoin
4629,UNB,UnbreakableCoin
5381,UNAT,Unattanium
928184,UMO,Universal Molecule
213100,UMC,Umbrella Coin
4628,ULTC,Umbrella
930927,ULT,Ultiledger
371005,UKG,UnikoinGold
5353,UIS,Unitus
930954,UIP,UnlimitedIP
929490,UGT,Universal Games Token
369179,UGC,ugChain
929793,UGAS,Ultrain
404806,UFR,Upfiring
5355,UFO,UFO Coin
935867,UFC,Union Fair Coin
769367,UETL,Useless Eth Token Lite
191037,UET,Useless Ethereum Token
929888,UDOO,Howdoo
894138,UCT,Ubique Chain Of Things
849732,UCN,UC Coin
931066,UCH,UChain
299774,UCASH,U.CASH
932127,UC,YouLive Coin
706900,UBTC,UnitedBitcoin
889870,UBT,UniBright
43044,UBQ,Ubiq
935469,UBER.CUR,Uber Technologies Inc
931951,UAT,UltrAlpha
935386,UAA.CUR,Under Armour Cl A
5352,U,Ucoin
338180,TZC,TrezarCoin
933132,TYT,Tianya Token
931144,TYPE,Typerium
13045,TX,Transfer
935205,TWTR.CUR,Twitter
935408,TWLO.CUR,Twilio Cl A
934056,TWEE,TWEEBAA
933580,TUDA,Tutor's Diary
815372,TUBE,BitTube
935499,TTWO.CUR,"Take-Two Interactive Software, Inc."
925078,TTV,TV-TWO
922627,TTU,TaTaTu
930397,TTN,Titan Coin
